Method,C1 delta T_fail (passes),C4 delta T_fail (passes),C6 delta T_fail (passes),Valid crossings,Pooled RMSE (passes),Pooled MAE (passes),Pooled R2
TCN,-62.312496560719865,21.090942353837477,32.30795563388378,3/3,41.38778108233103,37.4629876255598,0.7531670224718061
BiLSTM,-68.04432438746608,17.252247324428424,-23.213701716027288,3/3,41.57460615287599,34.9124400853718,0.7509335773241742
Transformer,-8.778593535650941,22.344630188085034,,2/3,,,
Neural ODE,-20.32667808909497,8.149351015352806,55.52000314267761,3/3,32.643024958201956,26.220660905861344,0.8464535819037244
Deep State Space Model,-25.89843508621226,,51.7485447982821,2/3,,,
PINDP-Net,-23.457127281449687,24.100282796585248,16.037209302325635,3/3,21.57034376774945,21.196242874203744,0.9329539759243821
